Item,Category,Description,Qty,Spec,Source,Est Cost,Status,Notes
HTR-001,Electrical,Heater element (salvaged),1,"~1500W 120V nichrome on mica former; element pack 1.5in wide x 6in long (measured 2026-05-07)",Harbor Freight Warrior heat gun SKU 56434,$10,In hand,"Teardown completed 2026-05-07. Element pack measured 1.5in x 6in. Drives HTR-CAN-001 length to 178mm (7in) — see baseplate-layout.md §3.3. A1 rejected — element extracted and mounted in custom heater can per DR-002. Still TODO before commissioning: measure element cold resistance (target ~9.6 ohm for 1500W/120V) and photograph mounting-tab geometry for HTR-CAN-001 fabrication."
BLW-001,Electrical,Vacuum motor (aftermarket Lamb 116336-01-pattern),1,"Aftermarket 2-stage 120V peripheral bypass vacuum motor (Lamb 116336-01-pattern); 5.7in motor disc OD x 2 5/8in tall + 3.5in motor body OD x ~3.75in tall; total height 6 3/8in; vent band z=1 3/8in to 2in from disc bottom (5/8in louvered ring); ø1.50in / 38.10mm axial working-air intake on disc bottom face; included Gasket 566 seats around the intake; side mount tabs at brush level",Amazon — aftermarket replacement for Lamb 116336-01 / 56207802 / 44903A B0F89ZQ23G,$60-90,In hand,"DR-011 supersedes DR-003. Aftermarket cross-reference replacement (B0F89ZQ23G) — sold as drop-in for the same OEM positions as Lamb 116336-01: Beam/NuTone/Vacuflo/AirVac central vacs; Tennant/Nilfisk A5/T5 floor scrubbers. Seller listing explicitly claims ""Peripheral bypass discharge""; visible vent topology matches the genuine Ametek Product Bulletin 116336-01 (March 1998). Vent map (annotated in build/photos/blower-motor/annotated_assembled.jpg + annotated_bottom.jpg): VACUUM INTAKE = ø1.50in axial center of disc bottom face — gasket 566 seats here, working-air suction; VACUUM EXHAUST = peripheral louvered ring around disc perimeter (z=35-51mm) — working-air discharge; AIR INTAKE = top star grille — cooling-air in; cooling-air out = brush vent band at motor-to-disc transition. Speed control via BLW-CTRL-001 TRIAC dimmer; airflow interlock via CT-001; frame earth-bonded via BOND-001. Working discharge captured by BLW-HOUS-001 commercial OEM fan shell (bolt-pattern compatibility predicated on seller's drop-in claim — verify gasket/bolt-circle fit before final assembly). Mounted on rear angle-iron extension via the two side mount tabs at the brush level. Static-pressure headroom is huge (20-80in WC) — characterize at TP-001 to find operating duty-cycle range, not whether it meets spec. Link: https://www.amazon.com/dp/B0F89ZQ23G"
BLW-HOUS-001,Mechanical,Blower fan shell housing (commercial OEM),1,"Ametek Lamb 45899-14 epoxy-coated steel fan shell with integrated 1.5in OD pipe tube outlet; OEM bolt-on for 5.7in Lamb/Ametek peripheral-bypass motors; ~1.2 lb",Amazon — Ametek Lamb 45899-14 B07YXCMCXC (alt B07H2LK6LS); The Vacuum Factory MTR1802 as cheaper non-Amazon alternative,$47-50 (Amazon) / $34.95 (Vac Factory),Needs sourcing,"DR-014 (2026-05-09) + DR-015 (2026-05-09): commercial OEM housing replaces fabricated stovepipe collector. Bolts onto BLW-001 disc face via 4× ø0.150in holes on ø4.625in BC (per Ametek 116336-01 datasheet — verify on the actual aftermarket unit before ordering). Outlet is AXIAL (off-center on the dome face, parallel to the motor shaft), 1.5in OD pipe tube — confirmed via Ace Vacuums product photo 2026-05-09. With BLW-001 mounted shaft-vertical, the housing outlet points vertically; BLW-ELBOW-001 turns the discharge horizontal forward to mate with BLW-COUP-001 reducer into the heater can. Same housing PN used inside central vacuum power units (Beam/NuTone/Vacuflo/AirVac). The motor's included Gasket 566 is for the motor-to-bulkhead seal; the housing-to-motor seal needs its own gasket — see BLW-HOUS-GSK-001. Order alongside BLW-HOUS-GSK-001 + BLW-ELBOW-001 + BLW-COUP-001. Amazon link: https://www.amazon.com/dp/B07YXCMCXC ; Vac Factory alternate: https://www.thevacuumfactory.com/product/5-7-lamb-ametek-fan-shell-cover-with-1-5-pipe-tube/"
BLW-HOUS-GSK-001,Mechanical,Fan-shell-to-motor gasket,1,"5.7in OD rubber gasket — Fitall Lamb Ametek Motor Gasket 5.7in #566",Amazon — Fitall Lamb Ametek Motor Gasket 5.7'' #566 B01N4W4T3V,$5-8,Needs sourcing,"DR-015 (2026-05-09): the 45899-14 fan shell is sold without a gasket (""mounting bolts and gasket must be purchased separately"" per Ace Vacuums listing). The motor includes a Gasket 566 from the factory; whether that one doubles as the housing-to-disc seal or is reserved for a different OEM-application interface is not clearly documented in primary sources. Order this Fitall #566 as either the shell gasket or a spare — at $5–8 it's cheap insurance to have one on the bench at assembly. Link: https://www.amazon.com/dp/B01N4W4T3V"
BLW-ELBOW-001,Mechanical,Blower outlet 90-degree elbow,1,"Silicone 90-degree elbow hose 1.5in / 38mm ID; 4in / 102mm legs; 4-ply reinforced; black; ~5mm wall",Amazon — Haturmyko 1.5in ID 90-degree silicone elbow coupler B0FM32NMQ4,$10-15,Needs sourcing,"DR-015 (2026-05-09): redirects BLW-HOUS-001's axial outlet from vertical (motor-shaft-parallel) to horizontal forward at heater-can centerline elevation. Without this, a vertical-axis motor mount + axial housing outlet would aim discharge straight up. Selected over rotating BLW-001 to shaft-horizontal because vertical-axis keeps the cooling-air intake (top star grille) facing up and away from the air train. Silicone also adds vibration isolation. Automotive turbo-intake silicone (~250C / 482F rating) is far above this leg of the air train (post-blower, pre-heater = near-ambient). Worm-drive hose clamps both ends (covered by EXH-003). 4in legs give working room for clamps at both joints. Order alongside BLW-COUP-001. Link: https://www.amazon.com/dp/B0FM32NMQ4"
BLW-COUP-001,Mechanical,Blower-to-heater-can coupler,1,"Silicone straight reducer hose 1.5in / 38mm to 2.5in / 63mm ID; 3in / 76mm long; 4-ply reinforced; black",Amazon — AotoKoop 1.5in to 2.5in straight silicone reducer coupler B094HSP16W,$10-14,Needs sourcing,"DR-014 (2026-05-09): bridges BLW-ELBOW-001's 1.5in horizontal output (itself fed from BLW-HOUS-001's axial outlet) to the 2.5in heater can inlet (HTR-CAN-001). Worm-drive hose clamps both ends (covered by EXH-003). Silicone also provides vibration isolation between motor and rigid heater-can/plenum stack. Automotive turbo-intake silicone (~250C / 482F rating) is far above this leg of the air train (post-blower, pre-heater = near-ambient). Link: https://www.amazon.com/dp/B094HSP16W"
BLW-CTRL-001,Electrical,TRIAC dimmer module (blower speed control),1,"AC light dimmer module 8A with on-board zero-cross detector; logic-level PWM input + ZC output (RobotDyn-style)",Amazon — Genuine RobotDYN PWM AC dimmer 110-220V w/ heatsink B071X19VL1,$10-15,Sourced,"DR-011: ESP32 GPIO 23 → PWM in (gate trigger); GPIO 4 ← ZC out (interrupt). Genuine RobotDYN 1-channel module — 3.3V/5V logic, 50/60Hz, includes heatsink. BTA16-class TRIAC; rated for ~8A continuous on inductive loads. Drive with RBDdimmer.h or roll-your-own ZC ISR + phase-angle scheduler. 4-channel alt B07NDW2F3F if multi-zone control ever needed. Link: https://www.amazon.com/dp/B071X19VL1"
CT-001,Electrical,Current transformer (airflow interlock),1,"ZMCT103C 5A split-core CT module with burden + bias network",Amazon — HiLetgo 3pcs ZMCT103C 5A AC current sensor w/ op-amp B0CDWWYLMQ,$8-10 (3-pack),Sourced,"DR-011: replaces implicit blower_is_running() check from DR-003. Clamp on one motor lead. Output AC riding mid-rail to ESP32 GPIO 34 ADC; firmware computes RMS for airflow interlock threshold. HiLetgo board has onboard precision op-amp + biasing — output is voltage (not raw 5mA secondary), directly ADC-readable. 3-pack gives 2 spares. 1000:1 ratio, 0.2% linearity, 3000V isolation. Link: https://www.amazon.com/dp/B0CDWWYLMQ"
FILT-001,Electrical,AC line filter,1,"X-cap line-to-neutral + Y-caps to earth; 6-10A inline module",Amazon — uxcell CW4L2-10A-T 115/250V 10A EMI filter B016EISSGE,$8-12,Sourced,"DR-011: contains conducted EMI from TRIAC switching + brushed-motor commutation. Mandatory for SPI signal integrity. CW4L2-10A-T is a chassis-mount terminal-block filter (common-mode choke + X+Y caps); install inline on motor leads between fuse bus and BLW-CTRL-001. Earth lug on case must bond to chassis ground. Salvage from a dead PC PSU input stage is a no-cost alternative if available. Link: https://www.amazon.com/dp/B016EISSGE"
FERR-001,Electrical,Snap-on ferrite chokes,1 lot,"Mixed-bore clamp-on ferrite cores (4mm-10mm cable diameters); set of 5-10",Amazon — IEUYO 22-pc clip-on ferrite kit 5 sizes 3/5/7/9/13mm B07DPM44BV,$8-10,Sourced,"DR-011: install on motor leads (between TRIAC and motor) and on every TC SPI cable run. Brushed motor + TRIAC switching is a significant EMI source — E13 shielded cable is necessary but not sufficient on its own. 22-pc kit covers 3-13mm cable diameters — fits TC SPI cables (small) and motor leads (larger). Snap-on, no soldering. Plenty of spares. 70-pc alt B0CP5Q2KLP if more inventory needed. Link: https://www.amazon.com/dp/B07DPM44BV"
BOND-001,Electrical,Motor frame earth bonding lug,1,"M4 or #8 ring terminal + matching screw / star washer; green/yellow stranded pigtail 14 AWG",Hardware store,$1,Needs sourcing,"DR-011: universal motors have nontrivial leakage current — frame must be bonded to mains earth. Ring terminal under a frame screw with a star washer for positive metal-to-metal contact"
SSR-001,Electrical,Zero-cross solid state relay,1,"25A 120V AC load / 3-5V DC control",Amazon — SSR-25DA generic B07FVR37QN,$5-8,Sourced,"Drive via NPN buffer from 5V rail (E7); add RC snubber across output (E10); add thermal fuse as independent backup. 3-32V DC input / 24-380V AC out. Link: https://www.amazon.com/dp/B07FVR37QN"
ESP-001,Electrical,ESP32 dev board,1,"ESP32-DevKitC clone",Amazon — HiLetgo ESP-WROOM-32 B0718T232Z,$5-7,Sourced,"Hardware WDT enabled in firmware (E1/F2). Single-board listing; 2-pack alt B09KLQF4RR. Link: https://www.amazon.com/dp/B0718T232Z"
TC-AMP-001,Electrical,MAX31855 TC amplifier breakout,3,"SPI K-type",Amazon — NOYITO MAX31855 B07K5MJ43M (qty 3),$4-6 ea,Sourced,"Total ~$12-18; use shielded cable to reduce SPI noise near SSR switching (E13). Order 3 individual units (cheaper than 3-packs). Alt: HUABAN B083R5F3FF. Link: https://www.amazon.com/dp/B07K5MJ43M"
TC-001,Sensor,K-type thermocouple - process air (TC1),1,"SS sheath probe K-type 3mm OD",Amazon — Industrial Q-K-01 B078QS3NWP,$3-5,Sourced,"Post-heater pre-plenum placement; compression fitting mount (M9). 6in long 0.118in (3mm) 316SS sheath quick-disconnect K-type up to 500C. Order qty 3 of this listing for TC-001/002/003. Link: https://www.amazon.com/dp/B078QS3NWP"
TC-002,Sensor,K-type thermocouple - bean bed (TC2),1,"SS sheath probe K-type 3mm OD",Amazon — Industrial Q-K-01 B078QS3NWP,$3-5,Sourced,"Side-entry lower chamber; compression fitting mount (M9). Same listing as TC-001. Link: https://www.amazon.com/dp/B078QS3NWP"
TC-003,Sensor,K-type thermocouple - exhaust (TC3),1,"SS sheath probe K-type 3mm OD",Amazon — Industrial Q-K-01 B078QS3NWP,$3-5,Sourced,"Exhaust stream above chamber; compression fitting mount (M9). Same listing as TC-001. Link: https://www.amazon.com/dp/B078QS3NWP"
TC-FIT-001,Sensor,TC compression fittings,3,"1/8in compression fitting 1/8 NPT to 1/8 OD",Amazon — Pysrych B09FF7LRL6 (2-pack qty 2),$3-5 ea,Sourced,"Positive sealing and strain relief for TC probes (M9). Pack of 2 — order 2 packs for 4 fittings (3 needed + 1 spare). 304 SS double-ferrule. Link: https://www.amazon.com/dp/B09FF7LRL6"
PSU-001,Electrical,5V power supply,1,"5V 2A USB charger",Junk drawer,$0,Thrift hunt,Old phone charger; must be isolated (all modern ones are)
FUSE-001,Electrical,Fuse or breaker,1,"20A 120V inline (was 15A — DR-013 D4)",Hardware store,$2-3,Needs sourcing,"DR-013 D4: bumped to 20A. Heater 12.5A + universal-AC motor 1-4A = 13.5-17A peak; 15A breaker trips at the high end and exceeds NEC 80% continuous (12A) at any motor load. Pair with 12 AWG WIRE-001 and PLUG-001 (NEMA 5-20). Required circuit is a 20A branch — see PLUG-001 notes for safety-label text."
SW-001,Electrical,Hard disconnect switch,1,"120V 15A DPST toggle or rocker",Hardware store,$3-5,Needs sourcing,E8: Must be double-pole (switches both L and N) to protect against reversed cord polarity. Must be accessible during operation
SW-002,Electrical,Heater Enable switch (panel),1,"SPST toggle panel-mount; low-voltage rating sufficient (carries ~5V / ~10mA SSR control signal only — NOT mains)",Amazon — any panel-mount SPST toggle,$2-5,Needs sourcing,"DR-016 D1: wired in series with ESP32 -> SSR control line. ESP32 also reads switch state via a digital input pin so firmware refuses to assert heater duty when disabled. Defense-in-depth on SSR control: cuts heater without disturbing blower, independent of firmware state. Mount on front panel next to LED-001/002. Lighted is fine but unnecessary — FAULT LED covers the visual side."
LED-001,Electrical,POWER indicator LED (panel),1,"5mm or 10mm panel-mount LED green; pre-wired with bezel preferred",Amazon — generic panel-mount LED indicator,$1-3,Needs sourcing,"DR-016 D2: lights when mains is energized downstream of SW-001 disconnect. Drive from ESP32 GPIO or directly from 5V via current-limit resistor (~330R from R3-001 kit). At-a-glance ""mains is hot"" indicator near the front panel."
LED-002,Electrical,FAULT indicator LED (panel),1,"5mm or 10mm panel-mount LED red; pre-wired with bezel preferred",Amazon — generic panel-mount LED indicator,$1-3,Needs sourcing,"DR-016 D2: latched fault indicator from safety layer (over-temp / airflow loss / TC failure / USB watchdog / etc.). Driven by ESP32 GPIO through current-limit resistor (~330R from R3-001 kit). Stays lit until fault state is cleared by operator reset."
UI-001,UI/Host,Raspberry Pi 5 8GB,1,"Raspberry Pi 5 single-board computer with 8GB RAM; ARM Cortex-A76 quad-core; 2x micro-HDMI; 4x USB (2x USB 3.0 + 2x USB 2.0); WiFi 6 / BT 5.0",Amazon — official Pi 5 8GB,$80,Needs sourcing,"DR-017: Artisan host. Mounts in new Zone E (front of baseplate). USB-tethered to ESP32 (Variant A transport). Pi 5's WiFi enables Artisan WebLCDs for iPad-on-LAN secondary view."
